success,score,label,jpos_kp,jpos_kd,ee_kp,ee_kd,cart_jpos_weight,cart_ee_weight,friction_enabled,gamma_c,gamma_v,max_f_c,max_f_v,observer_enabled,observer_k,max_tau_dist,cart_pos_rms_mm,cart_pos_hold_mm,cart_ori_rms_deg,joint_rms_mrad,joint_hold_mrad,max_tau_ratio,fail_reason
1,264.936,"j(150,22) ee(2400,90) w(j=0.5,ee=80) baseline",150,22,2400,90,0.5,80,0,0,0,0,0,0,0,0,6.97394,2.13739,3.29565,135.714,118.463,0.774786,""
1,134.5,"j(150,22) ee(2400,90) w(j=0.5,ee=80) obsobs(Ko=50,max=20)",150,22,2400,90,0.5,80,0,0,0,0,0,1,50,20,20.3043,17.2978,9.15774,53.5923,38.7267,1,""
1,83.5474,"j(150,22) ee(2400,90) w(j=0.5,ee=80) obsobs(Ko=100,max=20)",150,22,2400,90,0.5,80,0,0,0,0,0,1,100,20,4.0251,5.7782,2.01963,46.2902,26.4441,1,""
1,137.048,"j(150,22) ee(2400,90) w(j=0.5,ee=80) fric+obsfric(gc=5,gv=2,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,0.5,80,1,5,2,8,5,1,50,20,16.6457,22.6851,10.5228,53.6143,38.8418,1,""
1,118.378,"j(150,22) ee(2400,90) w(j=0.5,ee=80) fric+obsfric(gc=5,gv=4,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,0.5,80,1,5,4,8,5,1,50,20,13.2597,9.57699,6.20158,53.7258,38.7144,1,""
1,139.115,"j(150,22) ee(2400,90) w(j=0.5,ee=80) fric+obsfric(gc=10,gv=2,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,0.5,80,1,10,2,8,5,1,50,20,17.3814,25.2431,7.56416,53.7753,38.9328,1,""
1,149.543,"j(150,22) ee(2400,90) w(j=0.5,ee=80) fric+obsfric(gc=10,gv=4,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,0.5,80,1,10,4,8,5,1,50,20,20.4991,31.9422,9.84745,53.6939,38.484,1,""
1,95.0238,"j(150,22) ee(2400,90) w(j=0.5,ee=80) fric+obsfric(gc=5,gv=2,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,0.5,80,1,5,2,8,5,1,100,20,9.0231,10.4911,5.59462,46.0892,26.6231,1,""
1,92.0503,"j(150,22) ee(2400,90) w(j=0.5,ee=80) fric+obsfric(gc=5,gv=4,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,0.5,80,1,5,4,8,5,1,100,20,9.55418,6.78555,4.75629,46.7276,26.6048,1,""
1,96.8893,"j(150,22) ee(2400,90) w(j=0.5,ee=80) fric+obsfric(gc=10,gv=2,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,0.5,80,1,10,2,8,5,1,100,20,12.4575,9.0765,6.34656,45.6121,26.5699,1,""
1,102.008,"j(150,22) ee(2400,90) w(j=0.5,ee=80) fric+obsfric(gc=10,gv=4,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,0.5,80,1,10,4,8,5,1,100,20,13.3083,12.2021,8.14991,45.9271,26.4961,1,""
1,271.183,"j(150,22) ee(2400,90) w(j=0.5,ee=140) baseline",150,22,2400,90,0.5,140,0,0,0,0,0,0,0,0,6.65665,1.25926,3.21882,138.955,122.704,0.753659,""
1,124.731,"j(150,22) ee(2400,90) w(j=0.5,ee=140) obsobs(Ko=50,max=20)",150,22,2400,90,0.5,140,0,0,0,0,0,1,50,20,15.3263,12.1016,9.78325,53.6821,38.7291,1,""
1,105.682,"j(150,22) ee(2400,90) w(j=0.5,ee=140) obsobs(Ko=100,max=20)",150,22,2400,90,0.5,140,0,0,0,0,0,1,100,20,16.2984,13.0055,8.98346,45.3771,26.5091,1,""
1,131.687,"j(150,22) ee(2400,90) w(j=0.5,ee=140) fric+obsfric(gc=5,gv=2,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,0.5,140,1,5,2,8,5,1,50,20,18.9019,18.1485,5.32605,53.3605,38.613,1,""
1,107.333,"j(150,22) ee(2400,90) w(j=0.5,ee=140) fric+obsfric(gc=5,gv=4,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,0.5,140,1,5,4,8,5,1,50,20,10.3667,2.43681,5.09835,53.356,38.6246,1,""
1,109.834,"j(150,22) ee(2400,90) w(j=0.5,ee=140) fric+obsfric(gc=10,gv=2,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,0.5,140,1,10,2,8,5,1,50,20,8.65163,6.14298,4.26052,53.975,38.9338,1,""
1,129.172,"j(150,22) ee(2400,90) w(j=0.5,ee=140) fric+obsfric(gc=10,gv=4,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,0.5,140,1,10,4,8,5,1,50,20,17.2734,14.4165,9.79984,53.7458,38.8369,1,""
1,119.627,"j(150,22) ee(2400,90) w(j=0.5,ee=140) fric+obsfric(gc=5,gv=2,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,0.5,140,1,5,2,8,5,1,100,20,20.2805,23.964,5.8363,45.9853,26.4788,1,""
1,115.267,"j(150,22) ee(2400,90) w(j=0.5,ee=140) fric+obsfric(gc=5,gv=4,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,0.5,140,1,5,4,8,5,1,100,20,15.1277,21.5515,11.8874,46.1656,26.4784,1,""
1,114.26,"j(150,22) ee(2400,90) w(j=0.5,ee=140) fric+obsfric(gc=10,gv=2,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,0.5,140,1,10,2,8,5,1,100,20,14.7404,21.0734,11.9866,45.9013,26.552,1,""
1,114.051,"j(150,22) ee(2400,90) w(j=0.5,ee=140) fric+obsfric(gc=10,gv=4,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,0.5,140,1,10,4,8,5,1,100,20,14.684,21.0751,11.893,45.9685,26.3764,1,""
1,265.17,"j(150,22) ee(2400,90) w(j=1,ee=80) baseline",150,22,2400,90,1,80,0,0,0,0,0,0,0,0,7.17402,3.46895,3.3434,134.798,118.057,0.696695,""
1,134.487,"j(150,22) ee(2400,90) w(j=1,ee=80) obsobs(Ko=50,max=20)",150,22,2400,90,1,80,0,0,0,0,0,1,50,20,16.3119,22.1751,7.99107,53.343,38.6618,1,""
1,100.379,"j(150,22) ee(2400,90) w(j=1,ee=80) obsobs(Ko=100,max=20)",150,22,2400,90,1,80,0,0,0,0,0,1,100,20,10.0394,13.1775,4.44659,48.3334,26.6051,1,""
1,127.803,"j(150,22) ee(2400,90) w(j=1,ee=80) fric+obsfric(gc=5,gv=2,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,1,80,1,5,2,8,5,1,50,20,13.8169,18.5769,6.53613,53.4084,38.7331,1,""
1,121.077,"j(150,22) ee(2400,90) w(j=1,ee=80) fric+obsfric(gc=5,gv=4,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,1,80,1,5,4,8,5,1,50,20,8.58951,6.19429,4.35565,63.7489,40.3662,1,""
1,126.2,"j(150,22) ee(2400,90) w(j=1,ee=80) fric+obsfric(gc=10,gv=2,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,1,80,1,10,2,8,5,1,50,20,10.422,21.9869,2.41354,53.6948,38.8899,1,""
1,144.53,"j(150,22) ee(2400,90) w(j=1,ee=80) fric+obsfric(gc=10,gv=4,mfc=8,mfv=5) obs(Ko=50,max=20)",150,22,2400,90,1,80,1,10,4,8,5,1,50,20,23.2621,23.3259,11.6224,53.4104,38.7202,1,""
1,102.308,"j(150,22) ee(2400,90) w(j=1,ee=80) fric+obsfric(gc=5,gv=2,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,1,80,1,5,2,8,5,1,100,20,10.0235,17.3531,4.64409,46.167,26.4423,1,""
1,81.9646,"j(150,22) ee(2400,90) w(j=1,ee=80) fric+obsfric(gc=5,gv=4,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,1,80,1,5,4,8,5,1,100,20,6.01158,0.942718,5.3103,45.9366,26.4185,1,""
1,104.513,"j(150,22) ee(2400,90) w(j=1,ee=80) fric+obsfric(gc=10,gv=2,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,1,80,1,10,2,8,5,1,100,20,16.0931,5.01993,5.96162,53.7871,26.6317,1,""
1,99.8071,"j(150,22) ee(2400,90) w(j=1,ee=80) fric+obsfric(gc=10,gv=4,mfc=8,mfv=5) obs(Ko=100,max=20)",150,22,2400,90,1,80,1,10,4,8,5,1,100,20,14.3286,9.33038,6.35607,46.4441,26.526,1,""
1,258.32,"j(150,22) ee(2400,90) w(j=1,ee=140) baseline",150,22,2400,90,1,140,0,0,0,0,0,0,0,0,7.08068,2.62575,3.31668,132.887,114.068,0.707452,""
1,119.502,"j(150,22) ee(2400,90) w(j=1,ee=140) obsobs(Ko=50,max=20)",150,22,2400,90,1,140,0,0,0,0,0,1,50,20,14.468,9.69404,6.79023,53.3681,38.5765,1,""
1,110.959,"j(150,22) ee(2400,90) w(j=1,ee=140) obsobs(Ko=100,max=20)",150,22,2400,90,1,140,0,0,0,0,0,1,100,20,16.1465,19.389,6.54768,45.7202,26.4294,1,""
